config_id,epoch,train_loss,test_loss,train_mse,train_msa,train_explained_variance,train_r2,test_mse,test_msa,test_explained_variance,test_r2
etnn,1,356.52947998046875,132.92266845703125,360.0694885253906,18.76951026916504,-2.4062438011169434,-156.74864980462996,132.92266845703125,11.514604568481445,0.19227248430252075,-317.98517358265275
etnn,2,60.441768646240234,36.234458923339844,60.23444747924805,6.963466644287109,-25.25507354736328,-25.284857777179326,36.234458923339844,5.990364074707031,0.16008388996124268,-85.95473041321621
etnn,3,18.73616600036621,20.919736862182617,18.49173927307129,3.8157761096954346,-6.20247745513916,-6.904420330924824,20.919736862182617,4.5396037101745605,0.25190043449401855,-49.20276889714322
etnn,4,9.814184188842773,12.53757381439209,9.795414924621582,2.6604771614074707,-2.9037437438964844,-3.2878520141843754,12.53757381439209,3.4951837062835693,0.22903293371200562,-29.087421763160076
etnn,5,5.283702850341797,3.915418863296509,5.283646106719971,1.9123008251190186,-1.1121618747711182,-1.3241432693254604,3.915419340133667,1.902287483215332,0.28619664907455444,-8.396144663594908
etnn,6,3.145111560821533,3.30859375,3.1520376205444336,1.4456640481948853,-0.17055857181549072,-0.3636907355035155,3.308593988418579,1.7368876934051514,0.29970842599868774,-6.939897575076514
etnn,7,2.210488796234131,0.9401427507400513,2.2112367153167725,1.2213627099990845,0.10406190156936646,0.03586048412074405,0.9401426315307617,0.8418160676956177,0.3368397355079651,-1.2561357338670773
etnn,8,1.5754112005233765,1.3219739198684692,1.5744044780731201,1.0248055458068848,0.33109360933303833,0.31697613866142926,1.3219739198684692,1.0357065200805664,0.36359691619873047,-2.172446758205668
etnn,9,1.3188254833221436,0.3492593467235565,1.3171578645706177,0.9536354541778564,0.42217373847961426,0.4199563173768095,0.3492594063282013,0.47989681363105774,0.39704328775405884,0.1618542437349909
etnn,10,1.0932105779647827,0.4980839490890503,1.0932329893112183,0.8787359595298767,0.5272302627563477,0.5259315346771976,0.4980838894844055,0.5829766988754272,0.4274744391441345,-0.19529192273286
etnn,11,0.9345257878303528,0.22556538879871368,0.9338381886482239,0.8085500597953796,0.5788114070892334,0.5774424277655996,0.22556538879871368,0.37855392694473267,0.4588334560394287,0.4586927017499254
etnn,12,0.865809977054596,0.2565733790397644,0.8667207956314087,0.7822791337966919,0.6248667240142822,0.6184428375048985,0.2565734088420868,0.40264490246772766,0.4894312620162964,0.38428028376978884
etnn,13,0.7726651430130005,0.2945433259010315,0.7728664875030518,0.7383923530578613,0.6574988961219788,0.6550005128643381,0.2945433259010315,0.43595272302627563,0.5200498104095459,0.29316079288590835
