config_id,epoch,train_loss,val_loss,test_loss,train_mse,train_msa,train_explained_variance,train_r2,val_mse,val_msa,val_explained_variance,val_r2,test_mse,test_msa,test_explained_variance,test_r2
etnn,1,353300.3125,75211.1015625,0.,359055.1875,576.0457763671875,-92879.1640625,-1224877.6811479568,75211.1015625,274.11016845703125,-243.6043701171875,-246214.67480995078,0.,0.,0.,0.
etnn,2,27263.646484375,9055.1796875,0.,27677.21875,154.62132263183594,-12858.1435546875,-94416.89674808133,9055.1796875,95.1092300415039,-29.8178768157959,-29642.59076516363,0.,0.,0.,0.
etnn,3,7149.86083984375,5114.10595703125,0.,7188.9140625,84.46731567382812,-183.85401916503906,-24523.220018408625,5114.1064453125,71.4757080078125,-16.448190689086914,-16740.85224068879,0.,0.,0.,0.
etnn,4,4105.56884765625,3008.311279296875,0.,4126.2109375,64.02406311035156,-91.55380249023438,-14075.131955524546,3008.311279296875,54.819374084472656,-9.302953720092773,-9847.192428226814,0.,0.,0.,0.
etnn,5,2447.208984375,1838.3326416015625,0.,2458.99951171875,49.44157028198242,-48.56804656982422,-8387.616525746991,1838.3326416015625,42.85284423828125,-5.437202453613281,-6017.078862589781,0.,0.,0.,0.
etnn,6,1624.2723388671875,1515.4942626953125,0.,1626.51513671875,40.2898063659668,-10.07585620880127,-5547.684338040088,1515.494384765625,38.90904235839844,-4.175278186798096,-4960.215441542137,0.,0.,0.,0.
etnn,7,1468.97265625,1413.794677734375,0.,1470.0753173828125,38.32033157348633,-4.552361488342285,-5014.0062533713735,1413.7947998046875,37.5808219909668,-3.8344717025756836,-4627.285626102402,0.,0.,0.,0.
etnn,8,1374.4541015625,1327.068115234375,0.,1375.286865234375,37.06502914428711,-4.016983985900879,-4690.645842327608,1327.068115234375,36.409889221191406,-3.5438714027404785,-4343.371706423879,0.,0.,0.,0.
etnn,9,1292.0574951171875,1249.7064208984375,0.,1292.893798828125,35.93766403198242,-3.7016029357910156,-4409.570901768834,1249.70654296875,35.332672119140625,-3.2841010093688965,-4090.115865191037,0.,0.,0.,0.
etnn,10,1217.486328125,1177.7540283203125,0.,1218.3114013671875,34.885440826416016,-3.493624210357666,-4155.1402704299635,1177.7540283203125,34.30049133300781,-3.0283565521240234,-3854.5677855003146,0.,0.,0.,0.
etnn,11,1145.084716796875,1103.5264892578125,0.,1145.933837890625,33.83321762084961,-3.254002094268799,-3908.231922724413,1103.5263671875,33.20206069946289,-2.7630159854888916,-3611.572006393274,0.,0.,0.,0.
etnn,12,1070.808837890625,1030.2374267578125,0.,1071.6109619140625,32.71756362915039,-2.9978933334350586,-3654.687177308585,1030.237548828125,32.08055877685547,-2.5199878215789795,-3371.6485513635075,0.,0.,0.,0.
etnn,13,999.4246826171875,961.6287231445312,0.,1000.1748657226562,31.60826873779297,-2.7257091999053955,-3410.9905722903304,961.628662109375,30.993921279907227,-2.2925126552581787,-3147.0470115865305,0.,0.,0.,0.
etnn,14,933.388671875,898.8497314453125,0.,933.999267578125,30.54493522644043,-2.432570219039917,-3185.239550372745,898.8497314453125,29.965105056762695,-2.084407329559326,-2941.529723938448,0.,0.,0.,0.
etnn,15,873.2830810546875,842.0135498046875,0.,873.7679443359375,29.543750762939453,-2.1886532306671143,-2979.7667009513316,842.013671875,29.00222396850586,-1.8960461616516113,-2755.467442233911,0.,0.,0.,0.
