,number,value,datetime_start,datetime_complete,duration,params_batcher,params_learning_rate,params_n_dim_0,params_n_dim_1,params_n_dim_2,params_n_dim_3,params_n_layers,state
0,0,-117.10549356131335,2023-12-07 00:46:12.341700,2023-12-07 00:47:23.685424,0 days 00:01:11.343724,True,2.9993370414457732e-05,101.0,144.0,143.0,,4,COMPLETE
1,1,0.5354944756856901,2023-12-07 00:47:23.687418,2023-12-07 00:48:35.767630,0 days 00:01:12.080212,True,0.003948653876579676,60.0,287.0,346.0,55.0,5,COMPLETE
2,2,-186403.3685867239,2023-12-07 00:48:35.769630,2023-12-07 00:49:47.257560,0 days 00:01:11.487930,False,0.00028321175766893243,,,,,1,COMPLETE
3,3,-209481.8373996651,2023-12-07 00:49:47.258558,2023-12-07 00:50:58.063061,0 days 00:01:10.804503,True,3.692023210829222e-05,,,,,1,COMPLETE
4,4,-5229.276921492639,2023-12-07 00:50:58.065059,2023-12-07 00:52:09.713396,0 days 00:01:11.648337,True,0.002572533769827586,90.0,,,,2,COMPLETE
5,5,-77.517500653197,2023-12-07 00:52:09.714394,2023-12-07 00:53:23.530244,0 days 00:01:13.815850,True,2.6568411581965104e-05,279.0,440.0,386.0,,4,COMPLETE
6,6,-13418.970548473142,2023-12-07 00:53:23.531244,2023-12-07 00:54:35.114398,0 days 00:01:11.583154,False,2.4634747140395306e-05,304.0,,,,2,COMPLETE
7,7,-1068453.8689119085,2023-12-07 00:54:35.115360,2023-12-07 00:55:45.639337,0 days 00:01:10.523977,True,1.079138012780079e-05,,,,,1,COMPLETE
8,8,-709.0764682026344,2023-12-07 00:55:45.640337,2023-12-07 00:56:58.480277,0 days 00:01:12.839940,True,4.8180344945403936e-05,388.0,79.0,,,3,COMPLETE
9,9,-20.780079114642113,2023-12-07 00:56:58.481277,2023-12-07 00:58:11.702184,0 days 00:01:13.220907,True,0.0001893725716300483,54.0,504.0,375.0,,4,COMPLETE
10,10,-995.8875580405034,2023-12-07 00:58:11.704182,2023-12-07 00:59:25.116401,0 days 00:01:13.412219,False,0.00949126780338014,191.0,294.0,505.0,10.0,5,COMPLETE
11,11,-4.208094906317656,2023-12-07 00:59:25.118401,2023-12-07 01:00:38.240613,0 days 00:01:13.122212,True,0.0005595405615657714,16.0,508.0,308.0,125.0,5,COMPLETE
12,12,-5.60426253394415,2023-12-07 01:00:38.241612,2023-12-07 01:01:50.152366,0 days 00:01:11.910754,True,0.0010581893560933624,3.0,326.0,267.0,102.0,5,COMPLETE
13,13,0.18120810477067614,2023-12-07 01:01:50.153366,2023-12-07 01:03:04.077457,0 days 00:01:13.924091,True,0.0012065011209572369,166.0,387.0,259.0,233.0,5,COMPLETE
14,14,0.3904684171044895,2023-12-07 01:03:04.078465,2023-12-07 01:04:16.946311,0 days 00:01:12.867846,False,0.0030554466653188632,163.0,359.0,125.0,413.0,5,COMPLETE
15,15,-994.3077462173635,2023-12-07 01:04:16.947697,2023-12-07 01:05:28.875709,0 days 00:01:11.928012,False,0.009355518962140872,178.0,208.0,14.0,,4,COMPLETE
16,16,-104.48903862642763,2023-12-07 01:05:28.876708,2023-12-07 01:06:42.229367,0 days 00:01:13.352659,False,0.003412868426889082,506.0,213.0,,,3,COMPLETE
17,17,0.8006298738607771,2023-12-07 01:06:42.230365,2023-12-07 01:07:55.392098,0 days 00:01:13.161733,False,0.004550409699278154,128.0,357.0,145.0,484.0,5,COMPLETE
18,18,-75.5567141390014,2023-12-07 01:07:55.394097,2023-12-07 01:09:07.233988,0 days 00:01:11.839891,False,0.005144436087259502,107.0,7.0,154.0,,4,COMPLETE
19,19,-31.18728394615718,2023-12-07 01:09:07.235987,2023-12-07 01:10:19.529263,0 days 00:01:12.293276,False,0.001565166267307429,223.0,248.0,,,3,COMPLETE
20,20,0.7094225379032297,2023-12-07 01:10:19.530263,2023-12-07 01:11:33.402991,0 days 00:01:13.872728,False,0.005808334090321394,329.0,415.0,50.0,490.0,5,COMPLETE
21,21,0.5397442230671755,2023-12-07 01:11:33.404992,2023-12-07 01:12:46.699986,0 days 00:01:13.294994,False,0.005158274987179793,354.0,412.0,28.0,494.0,5,COMPLETE
22,22,-0.15598620994788423,2023-12-07 01:12:46.700985,2023-12-07 01:14:00.382419,0 days 00:01:13.681434,False,0.006968234585627112,392.0,404.0,12.0,485.0,5,COMPLETE
23,23,-0.8695724965884999,2023-12-07 01:14:00.383420,2023-12-07 01:15:14.184405,0 days 00:01:13.800985,False,0.005689695312632678,338.0,440.0,87.0,,4,COMPLETE
24,24,0.6398103101129291,2023-12-07 01:15:14.185404,2023-12-07 01:16:28.852963,0 days 00:01:14.667559,False,0.0025713972117779515,444.0,442.0,69.0,502.0,5,COMPLETE
25,25,-4.487839747228816,2023-12-07 01:16:28.853962,2023-12-07 01:17:43.097202,0 days 00:01:14.243240,False,0.0020501441811904652,470.0,460.0,195.0,,4,COMPLETE
26,26,0.3486754070208476,2023-12-07 01:17:43.099203,2023-12-07 01:18:56.806026,0 days 00:01:13.706823,False,0.002211741848273446,422.0,338.0,80.0,367.0,5,COMPLETE
27,27,-1199.4978214046628,2023-12-07 01:18:56.807026,2023-12-07 01:20:10.450625,0 days 00:01:13.643599,False,0.0041419141604002755,447.0,,,,2,COMPLETE
28,28,-8.775871058278103,2023-12-07 01:20:10.451626,2023-12-07 01:21:24.122550,0 days 00:01:13.670924,False,0.000816084460349576,266.0,370.0,199.0,,4,COMPLETE
29,29,-3.5752373234941666,2023-12-07 01:21:24.124568,2023-12-07 01:22:37.874522,0 days 00:01:13.749954,False,0.0016536278992903331,324.0,468.0,69.0,,4,COMPLETE
30,30,-2.54062125877982,2023-12-07 01:22:37.876521,2023-12-07 01:23:51.111518,0 days 00:01:13.234997,False,0.009253250761247611,226.0,312.0,81.0,382.0,5,COMPLETE
31,31,-0.002597710838194667,2023-12-07 01:23:51.112517,2023-12-07 01:25:04.494109,0 days 00:01:13.381592,False,0.0057476104903804864,361.0,411.0,2.0,510.0,5,COMPLETE
32,32,0.5212125332815537,2023-12-07 01:25:04.496107,2023-12-07 01:26:18.484946,0 days 00:01:13.988839,False,0.0036455316867346197,373.0,414.0,49.0,450.0,5,COMPLETE
33,33,-2.1829502333573383,2023-12-07 01:26:18.485894,2023-12-07 01:27:33.199010,0 days 00:01:14.713116,False,0.004623317539242386,409.0,475.0,45.0,510.0,5,COMPLETE
34,34,0.5301425627512123,2023-12-07 01:27:33.201010,2023-12-07 01:28:47.663081,0 days 00:01:14.462071,False,0.00287063386663924,463.0,373.0,121.0,321.0,5,COMPLETE
35,35,-13.696731136082473,2023-12-07 01:28:47.664082,2023-12-07 01:30:01.367594,0 days 00:01:13.703512,False,0.006174104235613647,342.0,430.0,192.0,,4,COMPLETE
36,36,-23.906375750970362,2023-12-07 01:30:01.369595,2023-12-07 01:31:15.747053,0 days 00:01:14.377458,False,0.0020835274217914637,499.0,345.0,105.0,432.0,5,COMPLETE
37,37,-23.003347225735467,2023-12-07 01:31:15.749053,2023-12-07 01:32:29.737809,0 days 00:01:13.988756,False,0.0031659143357172146,294.0,476.0,,,3,COMPLETE
38,38,0.7578837454726906,2023-12-07 01:32:29.739810,2023-12-07 01:33:43.397650,0 days 00:01:13.657840,False,0.006409635702740372,244.0,260.0,44.0,450.0,5,COMPLETE
39,39,-4.5838077571740445,2023-12-07 01:33:43.399651,2023-12-07 01:34:56.198929,0 days 00:01:12.799278,False,0.007317000814157671,127.0,166.0,166.0,,4,COMPLETE
40,40,0.7075308382780804,2023-12-07 01:34:56.200929,2023-12-07 01:36:09.035474,0 days 00:01:12.834545,False,0.0031364383512542987,247.0,247.0,54.0,446.0,5,COMPLETE
41,41,0.7228538052156577,2023-12-07 01:36:09.037473,2023-12-07 01:37:22.039046,0 days 00:01:13.001573,False,0.003810205298133399,225.0,261.0,64.0,449.0,5,COMPLETE
42,42,0.6916368191735657,2023-12-07 01:37:22.040046,2023-12-07 01:38:36.017412,0 days 00:01:13.977366,False,0.0039174673497339866,237.0,270.0,47.0,440.0,5,COMPLETE
43,43,0.7271493382864443,2023-12-07 01:38:36.018412,2023-12-07 01:39:49.449939,0 days 00:01:13.431527,False,0.009650225869587204,206.0,240.0,116.0,337.0,5,COMPLETE
44,44,0.8282024327219139,2023-12-07 01:39:49.451940,2023-12-07 01:41:02.624684,0 days 00:01:13.172744,False,0.007588468779805426,213.0,149.0,138.0,317.0,5,COMPLETE
45,45,0.3272786375418883,2023-12-07 01:41:02.626686,2023-12-07 01:42:14.117068,0 days 00:01:11.490382,False,0.009428928058303188,141.0,115.0,150.0,,4,COMPLETE
46,46,-224.0026296741099,2023-12-07 01:42:14.119068,2023-12-07 01:43:25.626663,0 days 00:01:11.507595,True,0.007416272830944216,201.0,,,,2,COMPLETE
47,47,0.6341126240381042,2023-12-07 01:43:25.628664,2023-12-07 01:44:38.710532,0 days 00:01:13.081868,False,0.00437098183616932,200.0,189.0,227.0,322.0,5,COMPLETE
48,48,-0.008880475016986855,2023-12-07 01:44:38.711532,2023-12-07 01:45:51.265340,0 days 00:01:12.553808,True,0.007757917940032214,62.0,87.0,110.0,250.0,5,COMPLETE
49,49,-32.24865999879889,2023-12-07 01:45:51.266340,2023-12-07 01:47:04.522950,0 days 00:01:13.256610,False,0.009494538608977835,279.0,301.0,170.0,,4,COMPLETE
50,50,0.31844062282470276,2023-12-07 01:47:04.524951,2023-12-07 01:48:17.868823,0 days 00:01:13.343872,False,0.004439467537258055,150.0,132.0,460.0,291.0,5,COMPLETE
51,51,0.774229459956729,2023-12-07 01:48:17.869822,2023-12-07 01:49:30.406112,0 days 00:01:12.536290,False,0.006264981226949331,216.0,229.0,131.0,388.0,5,COMPLETE
52,52,-25363.050708590712,2023-12-07 01:49:30.408112,2023-12-07 01:50:41.750170,0 days 00:01:11.342058,False,0.0069734590227653985,,,,,1,COMPLETE
53,53,0.5678310091338387,2023-12-07 01:50:41.751169,2023-12-07 01:51:55.134254,0 days 00:01:13.383085,False,0.005634670159462151,213.0,221.0,136.0,378.0,5,COMPLETE
54,54,0.6142670628168201,2023-12-07 01:51:55.135253,2023-12-07 01:53:08.346097,0 days 00:01:13.210844,False,0.0039249013688818475,258.0,276.0,121.0,343.0,5,COMPLETE
55,55,0.5170654235877754,2023-12-07 01:53:08.347096,2023-12-07 01:54:20.655621,0 days 00:01:12.308525,True,0.007039484991933406,190.0,176.0,92.0,395.0,5,COMPLETE
56,56,-0.42125917948630126,2023-12-07 01:54:20.656620,2023-12-07 01:55:33.863733,0 days 00:01:13.207113,False,0.009839661751469431,175.0,239.0,221.0,453.0,5,COMPLETE
57,57,0.781158447159361,2023-12-07 01:55:33.864732,2023-12-07 01:56:46.233091,0 days 00:01:12.368359,False,0.004857240136836865,96.0,200.0,138.0,294.0,5,COMPLETE
58,58,0.5749887611309394,2023-12-07 01:56:46.234090,2023-12-07 01:57:58.596542,0 days 00:01:12.362452,False,0.005197451380033048,90.0,154.0,278.0,,4,COMPLETE
59,59,-0.13707992749807074,2023-12-07 01:57:58.598541,2023-12-07 01:59:11.267722,0 days 00:01:12.669181,False,0.003014536230843357,69.0,200.0,140.0,285.0,5,COMPLETE
