,number,value,datetime_start,datetime_complete,duration,params_batcher,params_hidden_dim,params_k,params_learning_rate,state
0,0,-3884.963782892913,2023-12-08 18:24:10.905655,2023-12-08 18:25:30.076900,0 days 00:01:19.171245,True,96,5,1.678216786299938e-05,COMPLETE
1,1,-1.7640259345411073,2023-12-08 18:25:30.077900,2023-12-08 18:26:45.263649,0 days 00:01:15.185749,False,192,2,8.361871302656154e-05,COMPLETE
2,2,-1.404838149145542,2023-12-08 18:26:45.264648,2023-12-08 18:28:06.499404,0 days 00:01:21.234756,False,304,1,6.427285053806185e-05,COMPLETE
3,3,-2.299086348234805,2023-12-08 18:28:06.501404,2023-12-08 18:29:25.426486,0 days 00:01:18.925082,True,272,1,5.497795303523248e-05,COMPLETE
4,4,-0.8973224186016925,2023-12-08 18:29:25.427487,2023-12-08 18:31:09.198669,0 days 00:01:43.771182,True,336,2,0.0010207676100631123,COMPLETE
5,5,-0.40294758451180945,2023-12-08 18:31:09.200668,2023-12-08 18:33:00.465134,0 days 00:01:51.264466,False,496,5,0.0003987039249518899,COMPLETE
6,6,-0.8376195686062555,2023-12-08 18:33:00.467203,2023-12-08 18:34:24.375501,0 days 00:01:23.908298,True,48,3,0.00948698684806332,COMPLETE
7,7,-0.11079493333325412,2023-12-08 18:34:24.377501,2023-12-08 18:35:55.553725,0 days 00:01:31.176224,False,320,5,0.001921688261812151,COMPLETE
8,8,-0.7411663600349476,2023-12-08 18:35:55.556238,2023-12-08 18:37:30.119135,0 days 00:01:34.562897,False,400,2,0.0003494085922233814,COMPLETE
9,9,-0.6888066726060285,2023-12-08 18:37:30.120134,2023-12-08 18:38:56.012079,0 days 00:01:25.891945,False,96,4,0.0022274060985992975,COMPLETE
10,10,-4844.873898091273,2023-12-08 18:38:56.013079,2023-12-08 18:40:29.473042,0 days 00:01:33.459963,False,464,4,0.008341047657241016,COMPLETE
11,11,-0.22625147740355595,2023-12-08 18:40:29.475044,2023-12-08 18:42:06.767789,0 days 00:01:37.292745,False,448,5,0.0007472581052881158,COMPLETE
12,12,-0.42363371712129505,2023-12-08 18:42:06.768788,2023-12-08 18:43:43.285829,0 days 00:01:36.517041,False,400,5,0.0015809021293175084,COMPLETE
13,13,-0.13409546216314214,2023-12-08 18:43:43.287829,2023-12-08 18:45:12.029931,0 days 00:01:28.742102,False,208,4,0.0031500483293305046,COMPLETE
14,14,-0.18667531802314566,2023-12-08 18:45:12.031934,2023-12-08 18:46:41.147552,0 days 00:01:29.115618,False,176,4,0.003505875648714948,COMPLETE
15,15,-0.13321999446128804,2023-12-08 18:46:41.148556,2023-12-08 18:48:13.436307,0 days 00:01:32.287751,False,240,4,0.0034299227982403364,COMPLETE
16,16,-0.630397545015092,2023-12-08 18:48:13.438256,2023-12-08 18:49:46.401985,0 days 00:01:32.963729,False,352,3,0.004908709333067089,COMPLETE
17,17,-0.47097840137057806,2023-12-08 18:49:46.403012,2023-12-08 18:51:15.606150,0 days 00:01:29.203138,False,240,4,0.0013455135118724884,COMPLETE
18,18,-0.43706595466510356,2023-12-08 18:51:15.607149,2023-12-08 18:52:44.520843,0 days 00:01:28.913694,True,160,5,0.004650530180480857,COMPLETE
19,19,-0.715401702628601,2023-12-08 18:52:44.523078,2023-12-08 18:54:23.447883,0 days 00:01:38.924805,False,272,3,0.0005888083733636716,COMPLETE
20,20,-0.3151424702810104,2023-12-08 18:54:23.449886,2023-12-08 18:56:17.159650,0 days 00:01:53.709764,False,368,4,0.001741121055622351,COMPLETE
21,21,-0.293888525422913,2023-12-08 18:56:17.160650,2023-12-08 18:57:42.064306,0 days 00:01:24.903656,False,224,4,0.002774813923722191,COMPLETE
22,22,-0.5682849019086348,2023-12-08 18:57:42.066306,2023-12-08 18:59:08.684373,0 days 00:01:26.618067,False,144,4,0.0033452227286850226,COMPLETE
23,23,-0.2170235494604567,2023-12-08 18:59:08.685482,2023-12-08 19:00:52.142131,0 days 00:01:43.456649,False,304,5,0.001837703251042401,COMPLETE
24,24,-0.2686646949639405,2023-12-08 19:00:52.143131,2023-12-08 19:02:20.277146,0 days 00:01:28.134015,False,224,3,0.005867951571572098,COMPLETE
25,25,-0.5649162869899296,2023-12-08 19:02:20.278151,2023-12-08 19:03:46.983793,0 days 00:01:26.705642,False,304,4,0.0007881959540160907,COMPLETE
26,26,-0.6204542324248498,2023-12-08 19:03:46.985232,2023-12-08 19:05:09.343810,0 days 00:01:22.358578,True,128,5,0.0032788958707729633,COMPLETE
27,27,-0.1722031264866533,2023-12-08 19:05:09.344808,2023-12-08 19:06:35.998519,0 days 00:01:26.653711,False,192,4,0.006243392287440636,COMPLETE
28,28,-0.40935949523450466,2023-12-08 19:06:35.999508,2023-12-08 19:08:04.814714,0 days 00:01:28.815206,False,256,5,0.0012348673147348469,COMPLETE
29,29,-0.5110411038546386,2023-12-08 19:08:04.816711,2023-12-08 19:09:28.893172,0 days 00:01:24.076461,True,208,3,0.002280934927706107,COMPLETE
30,30,-0.4934293186204868,2023-12-08 19:09:28.894172,2023-12-08 19:10:47.306992,0 days 00:01:18.412820,False,16,5,0.008321132743691024,COMPLETE
31,31,-0.339679175329508,2023-12-08 19:10:47.307992,2023-12-08 19:12:09.836074,0 days 00:01:22.528082,False,96,4,0.0052895422702159915,COMPLETE
32,32,-0.1770316901746916,2023-12-08 19:12:09.838077,2023-12-08 19:13:37.520208,0 days 00:01:27.682131,False,192,4,0.005967167210611331,COMPLETE
33,33,-0.06453395608117636,2023-12-08 19:13:37.521207,2023-12-08 19:15:04.821676,0 days 00:01:27.300469,False,288,4,0.0025371750159581485,COMPLETE
34,34,-0.06972922423396652,2023-12-08 19:15:04.823681,2023-12-08 19:16:28.874782,0 days 00:01:24.051101,False,320,3,0.002380130993225515,COMPLETE
35,35,-0.2983538271834053,2023-12-08 19:16:28.874782,2023-12-08 19:17:58.058011,0 days 00:01:29.183229,False,320,3,0.0010750027583601711,COMPLETE
36,36,-0.5707632888380967,2023-12-08 19:17:58.059383,2023-12-08 19:19:28.808280,0 days 00:01:30.748897,True,272,2,0.0020535911386275097,COMPLETE
37,37,-0.9670254479720842,2023-12-08 19:19:28.810281,2023-12-08 19:20:52.912257,0 days 00:01:24.101976,False,384,2,0.00022326813437253894,COMPLETE
38,38,-0.23683571384155194,2023-12-08 19:20:52.915259,2023-12-08 19:22:17.597596,0 days 00:01:24.682337,False,304,1,0.0014897393381386077,COMPLETE
39,39,-44.8197815368979,2023-12-08 19:22:17.598594,2023-12-08 19:23:45.053403,0 days 00:01:27.454809,True,336,3,1.32602869119102e-05,COMPLETE
40,40,-0.9407607848296436,2023-12-08 19:23:45.054401,2023-12-08 19:25:14.634907,0 days 00:01:29.580506,False,432,3,0.0038610126418195823,COMPLETE
41,41,-0.18556087581576688,2023-12-08 19:25:14.635907,2023-12-08 19:26:44.896815,0 days 00:01:30.260908,False,288,3,0.0024961294911908377,COMPLETE
42,42,-0.13945005179392284,2023-12-08 19:26:44.897814,2023-12-08 19:28:13.633362,0 days 00:01:28.735548,False,240,4,0.0029711392143361767,COMPLETE
43,43,-0.07465484732567615,2023-12-08 19:28:13.634361,2023-12-08 19:29:41.771979,0 days 00:01:28.137618,False,256,5,0.004105190719865526,COMPLETE
44,44,-0.09912529223095579,2023-12-08 19:29:41.773979,2023-12-08 19:31:07.195855,0 days 00:01:25.421876,False,336,5,0.0022086381673581887,COMPLETE
45,45,-0.11016380174378564,2023-12-08 19:31:07.196858,2023-12-08 19:32:38.428737,0 days 00:01:31.231879,False,336,5,0.002220746327852832,COMPLETE
46,46,-0.30894288023165284,2023-12-08 19:32:38.429734,2023-12-08 19:34:17.606315,0 days 00:01:39.176581,False,352,5,0.0010353831256360363,COMPLETE
47,47,-0.20654413825209433,2023-12-08 19:34:17.607311,2023-12-08 19:36:15.042389,0 days 00:01:57.435078,False,400,5,0.002258261500139506,COMPLETE
