,number,value,datetime_start,datetime_complete,duration,params_batcher,params_learning_rate,params_n_dim_0,params_n_dim_1,params_n_dim_2,params_n_dim_3,params_n_layers,state
33,33,-0.2794915359577441,2023-12-07 02:50:57.816873,2023-12-07 02:52:09.459531,0 days 00:01:11.642658,False,0.0002847899539525447,256.0,449.0,58.0,308.0,5,COMPLETE
34,34,-0.27451571430947713,2023-12-07 02:52:09.460532,2023-12-07 02:53:20.522585,0 days 00:01:11.062053,False,0.00537929653334849,283.0,191.0,108.0,493.0,5,COMPLETE
35,35,-0.6604551218203841,2023-12-07 02:53:20.524589,2023-12-07 02:54:31.233186,0 days 00:01:10.708597,False,0.0030624976443303464,330.0,120.0,,,3,COMPLETE
36,36,-1.0024312503887962,2023-12-07 02:54:31.235188,2023-12-07 02:55:43.426225,0 days 00:01:12.191037,True,0.0010439999080711954,386.0,271.0,37.0,,4,COMPLETE
37,37,-52.24934033008775,2023-12-07 02:55:43.427225,2023-12-07 02:56:55.354890,0 days 00:01:11.927665,False,0.0016623901980247983,275.0,,,,2,COMPLETE
38,38,-1546.2479585180322,2023-12-07 02:56:55.356890,2023-12-07 02:58:05.654781,0 days 00:01:10.297891,False,0.0006118073188439417,,,,,1,COMPLETE
39,39,-0.5845093561304059,2023-12-07 02:58:05.656781,2023-12-07 02:59:18.170850,0 days 00:01:12.514069,True,0.004192872481886376,449.0,155.0,118.0,314.0,5,COMPLETE
40,40,-0.4311760792921417,2023-12-07 02:59:18.171850,2023-12-07 03:00:30.185356,0 days 00:01:12.013506,False,0.0011310599055920168,131.0,424.0,164.0,,4,COMPLETE
41,41,-0.2428207551133784,2023-12-07 03:00:30.187356,2023-12-07 03:01:42.699130,0 days 00:01:12.511774,False,0.006638966566665806,286.0,187.0,103.0,496.0,5,COMPLETE
42,42,-0.3381118123329912,2023-12-07 03:01:42.701128,2023-12-07 03:02:55.600175,0 days 00:01:12.899047,False,0.006573873361124458,315.0,235.0,49.0,458.0,5,COMPLETE
43,43,-0.24598874970997642,2023-12-07 03:02:55.602174,2023-12-07 03:04:07.419951,0 days 00:01:11.817777,False,0.0026804688099573443,238.0,118.0,99.0,431.0,5,COMPLETE
44,44,-0.24898450659466126,2023-12-07 03:04:07.420951,2023-12-07 03:05:18.779794,0 days 00:01:11.358843,False,0.002928770356407108,241.0,110.0,100.0,424.0,5,COMPLETE
45,45,-0.26383773867657634,2023-12-07 03:05:18.780793,2023-12-07 03:06:31.125290,0 days 00:01:12.344497,False,0.0028073130037436366,243.0,107.0,88.0,438.0,5,COMPLETE
46,46,-0.28400119361056914,2023-12-07 03:06:31.126292,2023-12-07 03:07:43.559996,0 days 00:01:12.433704,False,0.006626002039874285,293.0,36.0,154.0,377.0,5,COMPLETE
47,47,-0.2850521416422795,2023-12-07 03:07:43.561955,2023-12-07 03:08:54.285062,0 days 00:01:10.723107,False,0.004013965016878295,189.0,162.0,207.0,,4,COMPLETE
48,48,-0.43224739812694735,2023-12-07 03:08:54.287113,2023-12-07 03:10:06.262202,0 days 00:01:11.975089,False,0.007432586098868838,272.0,95.0,110.0,469.0,5,COMPLETE
49,49,-0.6830342243145104,2023-12-07 03:10:06.263202,2023-12-07 03:11:17.924307,0 days 00:01:11.661105,True,0.005178590922165892,233.0,132.0,27.0,,4,COMPLETE
50,50,-33.72593412045918,2023-12-07 03:11:17.925308,2023-12-07 03:12:29.273909,0 days 00:01:11.348601,False,0.002223195172057697,193.0,,,,2,COMPLETE
51,51,-0.7038498127640953,2023-12-07 03:12:29.274910,2023-12-07 03:13:41.995041,0 days 00:01:12.720131,False,0.0034392402217330114,237.0,209.0,134.0,436.0,5,COMPLETE
52,52,-0.3189806951152702,2023-12-07 03:13:41.996041,2023-12-07 03:14:53.321203,0 days 00:01:11.325162,False,0.0027235918878950323,313.0,63.0,92.0,511.0,5,COMPLETE
53,53,-0.28666577807895427,2023-12-07 03:14:53.323201,2023-12-07 03:16:04.731602,0 days 00:01:11.408401,False,0.007661663827056202,211.0,141.0,32.0,358.0,5,COMPLETE
54,54,-0.2683633865446791,2023-12-07 03:16:04.732600,2023-12-07 03:17:17.315446,0 days 00:01:12.582846,False,0.004463475919851258,265.0,177.0,203.0,395.0,5,COMPLETE
55,55,-0.2679811359016754,2023-12-07 03:17:17.316446,2023-12-07 03:18:28.721200,0 days 00:01:11.404754,False,0.0014393556074899362,164.0,321.0,24.0,485.0,5,COMPLETE
56,56,-0.35194349711851014,2023-12-07 03:18:28.723205,2023-12-07 03:19:40.123342,0 days 00:01:11.400137,False,0.009689721865918741,286.0,119.0,92.0,,4,COMPLETE
57,57,-0.23816404905694694,2023-12-07 03:19:40.124342,2023-12-07 03:20:52.448434,0 days 00:01:12.324092,False,0.005808915249526636,335.0,100.0,53.0,436.0,5,COMPLETE
58,58,-0.27924659869315416,2023-12-07 03:20:52.450428,2023-12-07 03:22:04.697972,0 days 00:01:12.247544,False,0.005716973002073433,381.0,39.0,135.0,457.0,5,COMPLETE
59,59,-0.809668928479472,2023-12-07 03:22:04.699972,2023-12-07 03:23:16.769253,0 days 00:01:12.069281,False,0.007539994329471935,368.0,97.0,,,3,COMPLETE
60,60,-0.28002851824915564,2023-12-07 03:23:16.770299,2023-12-07 03:24:30.577337,0 days 00:01:13.807038,False,0.003741118025408448,345.0,300.0,49.0,416.0,5,COMPLETE
61,61,-0.28921064552777287,2023-12-07 03:24:30.578336,2023-12-07 03:25:43.238235,0 days 00:01:12.659899,False,0.0022621032211891942,318.0,157.0,65.0,346.0,5,COMPLETE
62,62,-0.26140359903703225,2023-12-07 03:25:43.240185,2023-12-07 03:26:55.957699,0 days 00:01:12.717514,False,0.004568188447344004,235.0,85.0,100.0,452.0,5,COMPLETE
63,63,-0.24669426572865846,2023-12-07 03:26:55.958697,2023-12-07 03:28:09.124193,0 days 00:01:13.165496,False,0.005705882028378393,228.0,86.0,101.0,449.0,5,COMPLETE
64,64,-0.23630270957575691,2023-12-07 03:28:09.126192,2023-12-07 03:29:22.878276,0 days 00:01:13.752084,False,0.005951837905356434,298.0,259.0,145.0,421.0,5,COMPLETE
65,65,-0.26416104865752466,2023-12-07 03:29:22.879284,2023-12-07 03:30:35.881709,0 days 00:01:13.002425,False,0.005985819012280838,326.0,224.0,189.0,397.0,5,COMPLETE
66,66,-0.5400417569052,2023-12-07 03:30:35.883709,2023-12-07 03:31:47.854160,0 days 00:01:11.970451,True,0.008687968981330558,300.0,63.0,142.0,,4,COMPLETE
67,67,-0.2519787456217175,2023-12-07 03:31:47.856160,2023-12-07 03:33:01.201896,0 days 00:01:13.345736,False,0.005687660663771525,219.0,258.0,124.0,482.0,5,COMPLETE
68,68,-0.43161490056474705,2023-12-07 03:33:01.203895,2023-12-07 03:34:14.334133,0 days 00:01:13.130238,False,0.003466994372973996,178.0,10.0,156.0,421.0,5,COMPLETE
69,69,-0.24776988676809214,2023-12-07 03:34:14.335133,2023-12-07 03:35:27.308788,0 days 00:01:12.973655,False,0.009998848691625218,336.0,143.0,235.0,,4,COMPLETE
