,epoch,train_loss,test_loss,train_r2,test_r2
0,1,249.93905639648438,237.36566162109375,-106.0235137301918,-447.8384592593723
1,2,98.82441711425781,47.408756256103516,-42.4249040378625,-88.64594941426591
2,3,35.734344482421875,21.817625045776367,-14.930021297322682,-40.25528437628102
3,4,15.46600341796875,0.5938416123390198,-5.8075512203468405,-0.12290428528632447
4,5,7.881646156311035,0.06609012931585312,-2.5146315072682586,0.8750291603428576
5,6,3.4664599895477295,1.6924785375595093,-0.5209582424914792,-2.2003338469801514
6,7,2.16725754737854,2.171299695968628,0.037653415694063774,-3.1057440469458264
7,8,1.2389158010482788,1.4385892152786255,0.45433283263636925,-1.7202505813521776
8,9,0.6330407857894897,0.3094066083431244,0.7220211813119453,0.4149382220174609
9,10,0.25801965594291687,0.05826432257890701,0.8859208601270894,0.8898270798444441
10,11,0.1496736705303192,0.20199806988239288,0.9345166874165263,0.6180387296885134
11,12,0.11473313719034195,0.08972541242837906,0.9507825477849094,0.8303368165856957
12,13,0.06521821767091751,0.04520875960588455,0.9710994575241598,0.9145140611624466
13,14,0.04962709918618202,0.06169270724058151,0.9782431090079892,0.8833442977334591
14,15,0.04145503416657448,0.0407971628010273,0.98200279072549,0.9228560087091596
15,16,0.03612622618675232,0.04122604802250862,0.9840276548912433,0.9220450254409764
16,17,0.03436904400587082,0.038852035999298096,0.984909956767444,0.9265340833602109
17,18,0.03054567240178585,0.03774498030543327,0.98638778054957,0.9286274293140532
18,19,0.03109835647046566,0.035684436559677124,0.9863467591604347,0.9325237433570478
19,20,0.029129019007086754,0.0349833182990551,0.9874014699582595,0.9338495064161649
20,21,0.02782527543604374,0.033478543162345886,0.9880235528395288,0.9366949032204143
21,22,0.02727332152426243,0.03241375833749771,0.9879365050645099,0.9387083225431847
22,23,0.025594476610422134,0.03164901211857796,0.988904696730626,0.9401543902933127
23,24,0.024979855865240097,0.030740946531295776,0.9890185371405222,0.9418714633426143
24,25,0.025199079886078835,0.029863880947232246,0.9888843024506091,0.9435299182228696
25,26,0.0234878771007061,0.028550593182444572,0.9894627368723163,0.9460132408224672
26,27,0.022123606875538826,0.027597200125455856,0.9902873615561225,0.9478160198552178
27,28,0.02120453491806984,0.02676350064575672,0.9907287715941697,0.9493924778870989
28,29,0.020039038732647896,0.02605954371392727,0.9914076377216733,0.9507236047393033
29,30,0.019625728949904442,0.025222310796380043,0.9914674052739119,0.9523067455255285
30,31,0.018620800226926804,0.024620994925498962,0.9918513726348905,0.9534437773968568
31,32,0.018755439668893814,0.023857632651925087,0.9916787965962314,0.9548872352519373
32,33,0.01788526400923729,0.02309568040072918,0.9922301219861791,0.9563280197258581
33,34,0.017286503687500954,0.022423909977078438,0.9923869072583826,0.9575982842254324
34,35,0.016828486695885658,0.021853948011994362,0.9926456045623941,0.9586760318106645
