,number,value,datetime_start,datetime_complete,duration,params_batcher,params_hidden_dim,params_k,params_learning_rate,state
0,0,0.7143654093002982,2023-12-08 17:18:24.808651,2023-12-08 17:19:35.815875,0 days 00:01:11.007224,True,64,1,0.00808897486316116,COMPLETE
1,1,0.6576425911463057,2023-12-08 17:19:35.817877,2023-12-08 17:20:52.797704,0 days 00:01:16.979827,False,144,2,0.0005869126605231803,COMPLETE
2,2,0.05168457880629276,2023-12-08 17:20:52.798675,2023-12-08 17:22:04.168601,0 days 00:01:11.369926,True,80,2,5.571384041869843e-05,COMPLETE
3,3,0.5012220903667883,2023-12-08 17:22:04.170601,2023-12-08 17:23:20.408833,0 days 00:01:16.238232,True,272,1,1.9399601152500533e-05,COMPLETE
4,4,0.6867287496832178,2023-12-08 17:23:20.409831,2023-12-08 17:24:38.644113,0 days 00:01:18.234282,True,400,4,5.1094210818361834e-05,COMPLETE
5,5,0.5805871650910615,2023-12-08 17:24:38.645564,2023-12-08 17:25:49.259188,0 days 00:01:10.613624,False,112,5,0.00034137430371053434,COMPLETE
6,6,0.6735240769345079,2023-12-08 17:25:49.260188,2023-12-08 17:27:03.408039,0 days 00:01:14.147851,False,224,5,0.00041556601165883733,COMPLETE
7,7,0.586288648826752,2023-12-08 17:27:03.410040,2023-12-08 17:28:15.027396,0 days 00:01:11.617356,True,160,2,0.0001974643456354529,COMPLETE
8,8,0.10770294312997708,2023-12-08 17:28:15.029400,2023-12-08 17:29:22.553419,0 days 00:01:07.524019,True,32,4,0.00016559160607827056,COMPLETE
9,9,0.670355808595368,2023-12-08 17:29:22.554419,2023-12-08 17:30:33.623341,0 days 00:01:11.068922,False,176,1,0.00021735259331437867,COMPLETE
10,10,-7.8228185278197655,2023-12-08 17:30:33.624340,2023-12-08 17:31:53.277720,0 days 00:01:19.653380,True,480,3,0.008346740588151599,COMPLETE
11,11,-4.305820018968189,2023-12-08 17:31:53.278722,2023-12-08 17:33:09.631730,0 days 00:01:16.353008,True,352,4,0.009331446603465271,COMPLETE
12,12,0.793451630197851,2023-12-08 17:33:09.632729,2023-12-08 17:34:28.765416,0 days 00:01:19.132687,True,416,4,0.0017071251859575233,COMPLETE
13,13,-0.08933650882027169,2023-12-08 17:34:28.767415,2023-12-08 17:35:48.975061,0 days 00:01:20.207646,True,480,3,0.002476653993445979,COMPLETE
14,14,0.7753775739385459,2023-12-08 17:35:48.976060,2023-12-08 17:37:02.800142,0 days 00:01:13.824082,True,320,4,0.0022311555340601575,COMPLETE
15,15,0.7696358667678178,2023-12-08 17:37:02.802143,2023-12-08 17:38:18.964440,0 days 00:01:16.162297,True,336,4,0.0018141439528671854,COMPLETE
16,16,0.8071685158407321,2023-12-08 17:38:18.965440,2023-12-08 17:39:39.074704,0 days 00:01:20.109264,True,416,5,0.0020815926220190267,COMPLETE
17,17,0.7675535012789156,2023-12-08 17:39:39.076737,2023-12-08 17:40:58.709654,0 days 00:01:19.632917,True,400,5,0.001002188077825595,COMPLETE
18,18,-0.11475926322340176,2023-12-08 17:40:58.710655,2023-12-08 17:42:22.146748,0 days 00:01:23.436093,False,512,5,0.004053941337275252,COMPLETE
19,19,0.7298070936817938,2023-12-08 17:42:22.147747,2023-12-08 17:43:41.455351,0 days 00:01:19.307604,True,416,5,0.0010947153642515601,COMPLETE
20,20,0.7747978627198405,2023-12-08 17:43:41.456771,2023-12-08 17:44:59.564700,0 days 00:01:18.107929,True,432,3,0.0007711607654026803,COMPLETE
21,21,0.7999083621000438,2023-12-08 17:44:59.566697,2023-12-08 17:46:17.461464,0 days 00:01:17.894767,True,320,4,0.0029446183688304852,COMPLETE
22,22,0.7686122802507874,2023-12-08 17:46:17.462461,2023-12-08 17:47:35.804057,0 days 00:01:18.341596,True,288,4,0.0028826826338806005,COMPLETE
23,23,0.7964127850180605,2023-12-08 17:47:35.805056,2023-12-08 17:48:53.624458,0 days 00:01:17.819402,True,224,4,0.00461329729282089,COMPLETE
24,24,0.8172568507928452,2023-12-08 17:48:53.625458,2023-12-08 17:50:11.996745,0 days 00:01:18.371287,True,224,5,0.004246561121701876,COMPLETE
25,25,0.79206950166629,2023-12-08 17:50:11.997744,2023-12-08 17:51:29.953024,0 days 00:01:17.955280,True,224,5,0.005201214038681159,COMPLETE
