,Unnamed: 0.1,Unnamed: 0,epoch,train_loss,test_loss,train_r2,test_r2
0,0,0,1,1867269.625,707.1810913085938,-819480.9354022652,-1696.079007029449
1,1,1,2,581.244873046875,33.8939094543457,-259.45466874451006,-80.33793132992973
2,2,2,3,42.18508529663086,8.488356590270996,-17.620165356860785,-19.370190621415635
3,3,3,4,14.613198280334473,14.496695518493652,-5.414157241894153,-33.78887917307964
4,4,4,5,8.35460376739502,7.815389156341553,-2.742932015037191,-17.7552149589314
5,5,5,6,4.068989276885986,1.190757155418396,-0.7567573668955454,-1.857555215096371
6,6,6,7,0.6678889989852905,0.6628544926643372,0.7034414439361385,-0.5907049563115405
7,7,7,8,5.138052463531494,1.2870533466339111,-1.166930604928171,-2.08864491523838
8,8,8,9,3.6015613079071045,1.9177923202514648,-0.5984998294173349,-3.602279893336581
9,9,9,10,10.672658920288086,0.4432404637336731,-3.5136664867707337,-0.0636797244938338
10,10,10,11,6.502631187438965,6.216567039489746,-1.937334720991733,-13.918393730785755
11,11,11,12,3.3360729217529297,3.7080812454223633,-0.4989359912623037,-7.89857951166775
12,12,12,13,1.6840370893478394,2.012364387512207,0.2382744694787433,-3.829232330049692
13,13,13,14,0.9156332015991212,1.0193606615066528,0.5921127365953124,-1.446241501846672
14,14,14,15,0.5367535948753357,0.6216573715209961,0.7599384743940536,-0.4918410202093073
15,15,15,16,0.3551293909549713,0.3493558764457702,0.8380588951264037,0.1616227578636788
16,16,16,17,0.2434974014759063,0.2837964594364166,0.8899887969707064,0.3189508970456595
17,17,17,18,0.213819533586502,0.2231423705816269,0.907244261710558,0.4645074158659563
18,18,18,19,0.1989762634038925,0.2079700231552124,0.9103487431932836,0.5009176438083192
19,19,19,20,0.1925890445709228,0.209763690829277,0.9158643788185908,0.4966132899040044
20,20,20,21,0.1863893717527389,0.2278980463743209,0.9171354024342864,0.453094755477777
21,21,21,22,0.1770677864551544,0.2027764320373535,0.9226202481433772,0.5133811637161547
22,22,22,23,0.1642115414142608,0.1921830177307129,0.928437289928043,0.5388030116757621
23,23,23,24,0.159046933054924,0.1890718191862106,0.9299729154791004,0.5462692186629072
24,24,24,25,0.1605157107114792,0.1863780915737152,0.930435340249756,0.5527335455568052
25,25,25,26,0.1554876118898391,0.1868717670440673,0.9317084720289978,0.5515488541195357
26,26,26,27,0.1531439274549484,0.1906281262636184,0.933813721626212,0.5425344145350339
27,27,27,28,0.1503399163484573,0.1839946210384369,0.9343429446412682,0.5584533407974817
28,28,28,29,0.1434818655252456,0.1815631836652755,0.9370802041743646,0.5642882649675892
29,29,29,30,0.1421427875757217,0.1788052916526794,0.9374730451311182,0.5709065852722803
30,30,30,31,0.1409168094396591,0.1795368641614914,0.9372944129947872,0.569151001262004
31,31,31,32,0.1430095583200454,0.1763949394226074,0.937307179528573,0.5766909253764527
32,32,32,33,0.1401379108428955,0.1723162978887558,0.9376803620646272,0.5864787641166738
33,33,33,34,0.1376032680273056,0.1745898872613906,0.9396923472207076,0.58102270213483
34,34,34,35,0.1321196556091308,0.168556660413742,0.9411156943824672,0.5955010680490693
35,35,35,36,0.1306149214506149,0.1677394360303878,0.9429223677968952,0.5974622527128748
36,36,36,37,0.1308599412441253,0.1756396442651748,0.9426834952201302,0.5785034517238179
37,37,37,38,0.1268115490674972,0.1644267737865448,0.9440862872818284,0.6054118803344373
38,38,38,39,0.1196484118700027,0.1584681421518325,0.9464355665006468,0.6197112810817516
39,39,39,40,0.1183493807911872,0.1598463207483291,0.947977564681841,0.6164039721232548
40,40,40,41,0.115581139922142,0.154237151145935,0.9501185691152912,0.6298647543807887
41,41,41,42,0.120677150785923,0.1513390690088272,0.9466642446166996,0.6368195218625874
42,42,42,43,0.1180264800786972,0.1566394865512848,0.9488559770098562,0.6240996780757058
43,43,43,44,0.1112263053655624,0.1465244889259338,0.9508810471708128,0.6483734256727001
44,44,44,45,0.1168338730931282,0.1574548482894897,0.9491632211156152,0.6221429655505363
45,45,45,46,0.1177838668227195,0.141692966222763,0.9478525972972588,0.65996803344474
46,46,46,47,0.1083738654851913,0.1878825277090072,0.9539053814450232,0.5491232409428957
47,47,47,48,0.1186811104416847,0.1523733735084533,0.9477612802100728,0.6343374324318987
