,number,value,datetime_start,datetime_complete,duration,params_batcher,params_hidden_dim,params_k,params_learning_rate,state
0,0,0.0977191222896564,2023-12-21 12:51:35.792473,2023-12-21 12:53:19.596971,0 days 00:01:43.804498,True,352,4,1.3891305704530852e-05,COMPLETE
1,1,0.24808984913764318,2023-12-21 12:53:19.598972,2023-12-21 12:54:54.244127,0 days 00:01:34.645155,False,160,1,0.00021499137805169375,COMPLETE
2,2,-29.361836369721278,2023-12-21 12:54:54.246125,2023-12-21 12:56:23.738921,0 days 00:01:29.492796,False,32,3,0.00011960656821889805,COMPLETE
3,3,0.5375378856734001,2023-12-21 12:56:23.740921,2023-12-21 12:57:57.678507,0 days 00:01:33.937586,True,176,3,0.0003936521290030166,COMPLETE
4,4,0.6682791529789223,2023-12-21 12:57:57.680506,2023-12-21 12:59:32.025998,0 days 00:01:34.345492,True,304,4,0.00021461569126283238,COMPLETE
5,5,0.3023392911496304,2023-12-21 12:59:32.026998,2023-12-21 13:01:09.665019,0 days 00:01:37.638021,True,336,3,6.400846483941994e-05,COMPLETE
6,6,0.20476660550764475,2023-12-21 13:01:09.666020,2023-12-21 13:02:42.058216,0 days 00:01:32.392196,False,48,2,0.0008851119222125353,COMPLETE
7,7,-27.309850576240812,2023-12-21 13:02:42.060208,2023-12-21 13:04:18.367521,0 days 00:01:36.307313,False,448,3,0.00764623675323917,COMPLETE
8,8,0.8696212578194853,2023-12-21 13:04:18.368520,2023-12-21 13:05:52.461882,0 days 00:01:34.093362,False,304,3,0.00279498111211018,COMPLETE
9,9,0.35281404758294044,2023-12-21 13:05:52.463882,2023-12-21 13:07:26.845881,0 days 00:01:34.381999,True,368,3,0.0001015370690591027,COMPLETE
10,10,-3.7752290716478156,2023-12-21 13:07:26.847880,2023-12-21 13:09:07.750818,0 days 00:01:40.902938,False,512,5,0.0035325793244902716,COMPLETE
11,11,0.9053064068453619,2023-12-21 13:09:07.752817,2023-12-21 13:10:42.392242,0 days 00:01:34.639425,True,240,5,0.0011309956952579741,COMPLETE
12,12,0.8605482004304964,2023-12-21 13:10:42.393284,2023-12-21 13:12:16.610207,0 days 00:01:34.216923,True,208,5,0.0017102081052732835,COMPLETE
13,13,0.899195455260069,2023-12-21 13:12:16.612204,2023-12-21 13:13:51.079505,0 days 00:01:34.467301,False,256,4,0.001615554989268103,COMPLETE
14,14,0.5296857151761827,2023-12-21 13:13:51.081504,2023-12-21 13:15:25.694114,0 days 00:01:34.612610,False,224,4,0.0008836030064265496,COMPLETE
15,15,0.8496389825067983,2023-12-21 13:15:25.695113,2023-12-21 13:16:58.319458,0 days 00:01:32.624345,True,112,5,0.007819416607209058,COMPLETE
