,number,value,datetime_start,datetime_complete,duration,params_batcher,params_learning_rate,params_n_dim_0,params_n_dim_1,params_n_dim_2,params_n_dim_3,params_n_layers,state
0,0,-210601.94645228545,2023-12-07 20:55:06.198745,2023-12-07 20:56:21.472785,0 days 00:01:15.274040,False,3.5762164835316424e-05,,,,,1,COMPLETE
1,1,-3.337819704364103,2023-12-07 20:56:21.474785,2023-12-07 20:57:36.740247,0 days 00:01:15.265462,True,0.0009340234771113171,31.0,144.0,116.0,,4,COMPLETE
2,2,-14.395422711268527,2023-12-07 20:57:36.742584,2023-12-07 20:58:50.586277,0 days 00:01:13.843693,True,4.4402445245951924e-05,25.0,50.0,453.0,,4,COMPLETE
3,3,-25.24174673544831,2023-12-07 20:58:50.588276,2023-12-07 21:00:03.805778,0 days 00:01:13.217502,True,0.0007706758420370273,42.0,332.0,405.0,,4,COMPLETE
4,4,-338.02140201821857,2023-12-07 21:00:03.807736,2023-12-07 21:01:17.091042,0 days 00:01:13.283306,True,9.44549991268405e-05,66.0,437.0,,,3,COMPLETE
5,5,-59.435372559425915,2023-12-07 21:01:17.092984,2023-12-07 21:02:31.166818,0 days 00:01:14.073834,True,0.0034598132051023543,368.0,105.0,,,3,COMPLETE
6,6,-1101.830884188464,2023-12-07 21:02:31.168819,2023-12-07 21:03:44.919204,0 days 00:01:13.750385,True,0.0043958174860396155,112.0,,,,2,COMPLETE
7,7,-809.4910654699524,2023-12-07 21:03:44.920203,2023-12-07 21:05:00.621600,0 days 00:01:15.701397,False,0.0031091570829911183,465.0,,,,2,COMPLETE
8,8,-421.87786611240654,2023-12-07 21:05:00.623599,2023-12-07 21:06:15.396943,0 days 00:01:14.773344,True,1.5261914017176167e-05,102.0,491.0,118.0,,4,COMPLETE
9,9,-381.9734804348124,2023-12-07 21:06:15.397943,2023-12-07 21:07:32.362107,0 days 00:01:16.964164,True,0.0016540338530523365,274.0,2.0,241.0,,4,COMPLETE
10,10,0.5417538783454021,2023-12-07 21:07:32.364107,2023-12-07 21:08:49.037757,0 days 00:01:16.673650,False,0.0003044386432340112,225.0,200.0,12.0,272.0,5,COMPLETE
11,11,-0.3528767867152311,2023-12-07 21:08:49.039794,2023-12-07 21:10:04.714744,0 days 00:01:15.674950,False,0.00031996583063312106,212.0,200.0,22.0,238.0,5,COMPLETE
12,12,0.05969129784816871,2023-12-07 21:10:04.715744,2023-12-07 21:11:18.596221,0 days 00:01:13.880477,False,0.00024529841890356057,213.0,229.0,17.0,254.0,5,COMPLETE
13,13,0.03760742459623192,2023-12-07 21:11:18.598224,2023-12-07 21:12:33.473958,0 days 00:01:14.875734,False,0.00023637343154601505,220.0,286.0,4.0,286.0,5,COMPLETE
14,14,0.7487066623695531,2023-12-07 21:12:33.474957,2023-12-07 21:13:48.756163,0 days 00:01:15.281206,False,0.009494467210687026,275.0,222.0,148.0,288.0,5,COMPLETE
