,number,value,datetime_start,datetime_complete,duration,params_batcher,params_hidden_dim,params_k,params_learning_rate,state
0,0,-1627.4309482814422,2023-12-06 21:45:57.612615,2023-12-06 21:47:32.798901,0 days 00:01:35.186286,False,512,4,0.002581102885919996,COMPLETE
1,1,-0.7147257352398951,2023-12-06 21:47:32.799899,2023-12-06 21:49:16.185228,0 days 00:01:43.385329,True,208,5,0.001439126591338573,COMPLETE
2,2,-0.2880695958798013,2023-12-06 21:49:16.189229,2023-12-06 21:51:18.730740,0 days 00:02:02.541511,True,416,2,0.0027850275047091484,COMPLETE
3,3,-0.5305804920359419,2023-12-06 21:51:18.733255,2023-12-06 21:53:03.541146,0 days 00:01:44.807891,True,16,5,0.00023930619590446567,COMPLETE
4,4,-0.6143622402672674,2023-12-06 21:53:03.543785,2023-12-06 21:54:59.892620,0 days 00:01:56.348835,True,448,4,0.001204578328476816,COMPLETE
5,5,-0.6358521165735975,2023-12-06 21:54:59.894128,2023-12-06 21:57:02.480646,0 days 00:02:02.586518,True,384,5,2.36258554835385e-05,COMPLETE
6,6,-1.5300608712914614,2023-12-06 21:57:02.481643,2023-12-06 21:58:59.256473,0 days 00:01:56.774830,False,176,3,0.0015613194847812685,COMPLETE
7,7,-0.6026362392475344,2023-12-06 21:58:59.259461,2023-12-06 22:00:52.620925,0 days 00:01:53.361464,True,112,1,1.4476639848913182e-05,COMPLETE
8,8,-0.615208616137205,2023-12-06 22:00:52.622926,2023-12-06 22:02:25.605928,0 days 00:01:32.983002,True,128,3,0.0011217838935841896,COMPLETE
9,9,-0.622171514316957,2023-12-06 22:02:25.607929,2023-12-06 22:04:13.670491,0 days 00:01:48.062562,True,336,3,0.002351547996297981,COMPLETE
10,10,-89.22408706814001,2023-12-06 22:04:13.672490,2023-12-06 22:06:10.249137,0 days 00:01:56.576647,False,320,1,0.009950919874149188,COMPLETE
