,Unnamed: 0,epoch,train_loss,test_loss,train_r2,test_r2
0,0,1,14806.609375,191.7982940673828,-6478.606071790935,-459.2737275216394
1,1,2,337.8568420410156,322.288330078125,-150.53229379992587,-772.4211194864796
2,2,3,130.5293731689453,124.6273422241211,-56.52886701362379,-298.0781985345153
3,3,4,49.699703216552734,51.93136978149414,-20.67556316533873,-123.62385939244722
4,4,5,20.69420051574707,24.066686630249023,-8.1847587726781,-56.75475394454516
5,5,6,9.42155933380127,11.070673942565918,-3.137175364673566,-25.56718316789807
6,6,7,4.313420295715332,5.00661039352417,-0.9237425239526966,-11.014763606625923
7,7,8,2.1593470573425293,2.2839763164520264,0.0368171704079972,-4.481040631863563
8,8,9,1.1155532598495483,1.2507538795471191,0.4964271448447874,-2.001534373259065
9,9,10,0.5727559328079224,0.3217312395572662,0.7495340180874986,0.2279157446876333
10,10,11,0.2813190519809723,0.1952877938747406,0.8757538672003298,0.531352207412583
11,11,12,0.194025382399559,0.1581895500421524,0.9145191953895504,0.6203798742159673
12,12,13,0.1518034934997558,0.1660315692424774,0.9323116263551854,0.6015607212515968
13,13,14,0.1334801316261291,0.1691015362739563,0.9414663857611012,0.5941934833211583
14,14,15,0.1250943839550018,0.1508868634700775,0.9448104751259864,0.637904729431809
15,15,16,0.1183075755834579,0.154741421341896,0.9464668050494254,0.6286546216483366
16,16,17,0.1126090064644813,0.1596520692110061,0.94928087909651,0.6168701604731661
17,17,18,0.1084881648421287,0.1506247818470001,0.9531199483049656,0.638533654514703
18,18,19,0.1073073670268058,0.1441104263067245,0.9514254512547572,0.654166668336398
19,19,20,0.108810544013977,0.1423817723989486,0.9524536514378134,0.6583150251396628
20,20,21,0.1060217097401619,0.152037501335144,0.953047358496863,0.6351434169567599
21,21,22,0.1047655716538429,0.1461553871631622,0.9544460035977133,0.6492592207812092
22,22,23,0.1031931564211845,0.1380980759859085,0.9549617902496886,0.668594971324752
23,23,24,0.1006315872073173,0.1427877396345138,0.9555383627897116,0.6573408229867422
24,24,25,0.0983727574348449,0.1395376324653625,0.9573647919940188,0.6651403657648114
25,25,26,0.097556360065937,0.1345487833023071,0.957112349091264,0.6771124772798265
