,number,value,datetime_start,datetime_complete,duration,params_batcher,params_learning_rate,params_n_dim_0,params_n_dim_1,params_n_dim_2,params_n_dim_3,params_n_layers,state
0,0,-3.898854506925217,2023-12-09 08:10:22.880619,2023-12-09 08:11:32.361798,0 days 00:01:09.481179,True,0.006544251119539077,421.0,91.0,,,3,COMPLETE
1,1,-994.8309539800778,2023-12-09 08:11:32.363805,2023-12-09 08:12:36.517840,0 days 00:01:04.154035,False,5.4461236965534135e-05,342.0,253.0,,,3,COMPLETE
2,2,-5.316374556922454,2023-12-09 08:12:36.519843,2023-12-09 08:13:57.498733,0 days 00:01:20.978890,True,0.00017300771364700649,378.0,388.0,368.0,,4,COMPLETE
3,3,-4.948884924978612,2023-12-09 08:13:57.501733,2023-12-09 08:15:25.417381,0 days 00:01:27.915648,False,0.00022589940143170241,505.0,177.0,,,3,COMPLETE
4,4,-3.602496035532466,2023-12-09 08:15:25.419382,2023-12-09 08:16:59.327848,0 days 00:01:33.908466,False,0.003004424703176275,295.0,296.0,157.0,,4,COMPLETE
5,5,-224.82862905743536,2023-12-09 08:16:59.328859,2023-12-09 08:18:28.096367,0 days 00:01:28.767508,True,0.002097639389493674,,,,,1,COMPLETE
6,6,-4685.181908912513,2023-12-09 08:18:28.097373,2023-12-09 08:19:55.975284,0 days 00:01:27.877911,False,1.6080708738378273e-05,79.0,309.0,186.0,,4,COMPLETE
7,7,-4.801416098630096,2023-12-09 08:19:55.977283,2023-12-09 08:21:25.292594,0 days 00:01:29.315311,True,0.0016570958685605036,19.0,226.0,496.0,,4,COMPLETE
8,8,-19.34066581952083,2023-12-09 08:21:25.294594,2023-12-09 08:22:57.062641,0 days 00:01:31.768047,False,0.0001863125320937225,135.0,48.0,,,3,COMPLETE
9,9,-4561.963113232198,2023-12-09 08:22:57.064599,2023-12-09 08:24:29.571116,0 days 00:01:32.506517,False,1.1426454790788674e-05,296.0,502.0,253.0,,4,COMPLETE
10,10,-0.021934404549128005,2023-12-09 08:24:29.572116,2023-12-09 08:25:59.999904,0 days 00:01:30.427788,False,0.009049448041587074,207.0,411.0,12.0,505.0,5,COMPLETE
11,11,-0.052663660770160804,2023-12-09 08:26:00.001160,2023-12-09 08:27:27.699607,0 days 00:01:27.698447,False,0.009828811749347466,203.0,402.0,11.0,496.0,5,COMPLETE
12,12,-0.019113087890416613,2023-12-09 08:27:27.701608,2023-12-09 08:28:48.599848,0 days 00:01:20.898240,False,0.008066653181324126,187.0,434.0,1.0,511.0,5,COMPLETE
13,13,-4.502964002532938,2023-12-09 08:28:48.600847,2023-12-09 08:30:10.126778,0 days 00:01:21.525931,False,0.0007734033547313883,195.0,489.0,27.0,509.0,5,COMPLETE
14,14,-2.381544927708904,2023-12-09 08:30:10.128778,2023-12-09 08:31:32.641031,0 days 00:01:22.512253,False,0.009688743893786081,203.0,407.0,85.0,18.0,5,COMPLETE
15,15,-4.986612083126256,2023-12-09 08:31:32.642030,2023-12-09 08:32:57.617105,0 days 00:01:24.975075,False,0.0048337940656720466,,,,,1,COMPLETE
16,16,-4.8550342365628065,2023-12-09 08:32:57.619106,2023-12-09 08:34:16.971113,0 days 00:01:19.352007,False,0.0010290838091318996,131.0,,,,2,COMPLETE
17,17,-3.6294551344956867,2023-12-09 08:34:16.972113,2023-12-09 08:35:43.552796,0 days 00:01:26.580683,False,0.0035387022696056277,239.0,348.0,94.0,346.0,5,COMPLETE
18,18,-4.689031762579506,2023-12-09 08:35:43.553796,2023-12-09 08:37:13.068679,0 days 00:01:29.514883,True,0.004747166040854861,134.0,,,,2,COMPLETE
19,19,-4.77498791376089,2023-12-09 08:37:13.069678,2023-12-09 08:38:40.342670,0 days 00:01:27.272992,False,0.0008995526242824257,24.0,452.0,9.0,354.0,5,COMPLETE
20,20,-4.599144771324489,2023-12-09 08:38:40.345671,2023-12-09 08:40:07.487845,0 days 00:01:27.142174,False,0.0004844143758748274,271.0,440.0,335.0,432.0,5,COMPLETE
21,21,-3.4017422331764267,2023-12-09 08:40:07.489839,2023-12-09 08:41:36.659139,0 days 00:01:29.169300,False,0.009529903138599194,182.0,361.0,14.0,511.0,5,COMPLETE
22,22,-4.280439351255785,2023-12-09 08:41:36.661139,2023-12-09 08:43:09.229270,0 days 00:01:32.568131,False,0.008455913789555401,239.0,444.0,99.0,507.0,5,COMPLETE
23,23,-4.379695641492566,2023-12-09 08:43:09.231334,2023-12-09 08:44:38.895128,0 days 00:01:29.663794,False,0.0030896222879245993,81.0,327.0,4.0,,4,COMPLETE
24,24,-3.678908917684823,2023-12-09 08:44:38.897126,2023-12-09 08:46:10.564573,0 days 00:01:31.667447,False,0.006140084215649302,166.0,412.0,83.0,124.0,5,COMPLETE
25,25,-3.814435015627459,2023-12-09 08:46:10.565574,2023-12-09 08:47:46.174212,0 days 00:01:35.608638,False,0.0020631146417513053,238.0,508.0,154.0,,4,COMPLETE
26,26,-3.3497261174819757,2023-12-09 08:47:46.177213,2023-12-09 08:49:15.640449,0 days 00:01:29.463236,True,0.005981483543336197,340.0,375.0,60.0,388.0,5,COMPLETE
27,27,-3.940457728607762,2023-12-09 08:49:15.641449,2023-12-09 08:50:44.761380,0 days 00:01:29.119931,False,0.009655773597173348,93.0,,,,2,COMPLETE
28,28,-3.7426817603701465,2023-12-09 08:50:44.762380,2023-12-09 08:52:17.164018,0 days 00:01:32.401638,False,0.003981257849671706,212.0,453.0,138.0,253.0,5,COMPLETE
29,29,-4.024967273462434,2023-12-09 08:52:17.166018,2023-12-09 08:53:45.203667,0 days 00:01:28.037649,True,0.005960867952644619,142.0,299.0,,,3,COMPLETE
30,30,-4.267322076734324,2023-12-09 08:53:45.205666,2023-12-09 08:55:17.302633,0 days 00:01:32.096967,False,0.001533328729610005,283.0,178.0,215.0,,4,COMPLETE
31,31,-2.357123711742294,2023-12-09 08:55:17.304633,2023-12-09 08:56:47.867948,0 days 00:01:30.563315,False,0.00938786283683738,209.0,394.0,55.0,20.0,5,COMPLETE
32,32,-3.237243146554249,2023-12-09 08:56:47.869949,2023-12-09 08:58:18.896638,0 days 00:01:31.026689,False,0.006047570707304849,168.0,401.0,55.0,223.0,5,COMPLETE
33,33,-3.461568410076269,2023-12-09 08:58:18.897637,2023-12-09 08:59:52.856255,0 days 00:01:33.958618,False,0.007067228070295072,212.0,472.0,50.0,448.0,5,COMPLETE
