config_id,epoch,train_loss,val_loss,test_loss,train_mse,train_msa,train_explained_variance,train_r2,val_mse,val_msa,val_explained_variance,val_r2,test_mse,test_msa,test_explained_variance,test_r2
etnn,1,45478.44140625,981.7855834960938,0.,46556.859375,104.68035125732422,-100870.1875,-116282.96234877493,981.7855834960938,31.247474670410156,-11.913335800170898,-2355.069475774767,0.,0.,0.,0.
etnn,2,513.3255615234375,57.7720832824707,0.,521.0292358398438,21.41121482849121,-1287.2259521484375,-1300.3623550334737,57.7720832824707,7.590483665466309,0.6240888237953186,-137.64029851566642,0.,0.,0.,0.
etnn,3,72.81903076171875,5.200855255126953,0.,74.19689178466797,7.628695487976074,-111.30567169189453,-184.31981255820475,5.200855255126953,2.257932662963867,0.7537932991981506,-11.480909226172306,0.,0.,0.,0.
etnn,4,37.60049819946289,49.7345085144043,0.,38.03141784667969,5.305071830749512,-50.06838607788086,-93.99016334076808,49.7345085144043,7.045525550842285,0.7718381285667419,-118.3518859532516,0.,0.,0.,0.
etnn,5,21.64729881286621,0.6767906546592712,0.,22.150897979736328,3.9857656955718994,-50.30156707763672,-54.325770901933986,0.6767905950546265,0.7675269246101379,0.7886916995048523,-0.6241486119732422,0.,0.,0.,0.
etnn,6,0.33750367164611816,0.08444923907518387,0.,0.34037214517593384,0.4967725872993469,0.15996849536895752,0.14986069363576304,0.08444923907518387,0.23073579370975494,0.7978307604789734,0.7973403882202208,0.,0.,0.,0.
etnn,7,0.17391130328178406,0.229252889752388,0.,0.1740340292453766,0.33688512444496155,0.6338231563568115,0.5653193679935993,0.229252889752388,0.41601330041885376,0.8026170134544373,0.44984345886563537,0.,0.,0.,0.
etnn,8,0.14252911508083344,0.07680930942296982,0.,0.14344748854637146,0.3035327196121216,0.6423555612564087,0.6417146170858479,0.07680930942296982,0.2202710211277008,0.8166249394416809,0.8156745503169767,0.,0.,0.,0.
etnn,9,0.10055707395076752,0.10500597953796387,0.,0.10060162097215652,0.25560352206230164,0.7570421099662781,0.7487297241687039,0.10500597953796387,0.2508188486099243,0.8238191604614258,0.7480087278602859,0.,0.,0.,0.
etnn,10,0.0869947299361229,0.08748872578144073,0.,0.08724883198738098,0.23545242846012115,0.7833203077316284,0.7820806749383706,0.08748872578144073,0.22841638326644897,0.8244591951370239,0.7900462872423601,0.,0.,0.,0.
etnn,11,0.08151262998580933,0.0739605650305748,0.,0.0816047340631485,0.22501029074192047,0.796729326248169,0.7961777846766201,0.0739605724811554,0.21570198237895966,0.8228515982627869,0.8225108997896107,0.,0.,0.,0.
etnn,12,0.07650645822286606,0.07703215628862381,0.,0.07643277198076248,0.2165074348449707,0.8099432587623596,0.8090956747264288,0.07703215628862381,0.22297151386737823,0.822611927986145,0.8151397745133256,0.,0.,0.,0.
etnn,13,0.07432932406663895,0.07544861733913422,0.,0.0743650570511818,0.21401123702526093,0.8145664930343628,0.8142601544599791,0.07544861733913422,0.21985431015491486,0.8233482837677002,0.8189399000648603,0.,0.,0.,0.
etnn,14,0.07273895293474197,0.07536561042070389,0.,0.07259625941514969,0.21158279478549957,0.8189908862113953,0.8186780542866579,0.07536561042070389,0.21978844702243805,0.8237200379371643,0.8191391019072862,0.,0.,0.,0.
etnn,15,0.07279717177152634,0.07325781881809235,0.,0.0727425366640091,0.21264804899692535,0.8183127045631409,0.8183127009397929,0.07325781881809235,0.21481327712535858,0.8246742486953735,0.8241973453404376,0.,0.,0.,0.
etnn,16,0.07181115448474884,0.07280391454696655,0.,0.07180526107549667,0.21127626299858093,0.820655107498169,0.8206537196522943,0.07280391454696655,0.2126794010400772,0.8254715204238892,0.8252866121711186,0.,0.,0.,0.
etnn,17,0.07117532938718796,0.07291418313980103,0.,0.07126776874065399,0.21029262244701385,0.82199627161026,0.8219961959626269,0.07291418313980103,0.21213720738887787,0.826043963432312,0.8250219992275638,0.,0.,0.,0.
etnn,18,0.07147332280874252,0.07257798314094543,0.,0.07136105746030807,0.2098405957221985,0.8218700885772705,0.8217631813777603,0.07257798314094543,0.2121085673570633,0.8262180089950562,0.8258288091909514,0.,0.,0.,0.
etnn,19,0.07137325406074524,0.07236704230308533,0.,0.0713580846786499,0.2101118564605713,0.8218182325363159,0.8217706152683588,0.07236704230308533,0.21247021853923798,0.8263432383537292,0.8263349981548168,0.,0.,0.,0.
etnn,20,0.07116258889436722,0.07226797193288803,0.,0.07112917304039001,0.2098853886127472,0.8223670721054077,0.8223423528747916,0.07226797193288803,0.2126343548297882,0.8265934586524963,0.8265727469815285,0.,0.,0.,0.
etnn,21,0.07074049115180969,0.07210225611925125,0.,0.07069509476423264,0.20932547748088837,0.8234288692474365,0.8234265463198703,0.07210225611925125,0.21158187091350555,0.8272079825401306,0.8269704528215946,0.,0.,0.,0.
etnn,22,0.0704764872789383,0.0719381794333458,0.,0.07058878242969513,0.20884062349796295,0.8237293362617493,0.8236920801505768,0.0719381794333458,0.21140140295028687,0.8275569677352905,0.8273641899995501,0.,0.,0.,0.
etnn,23,0.0704655647277832,0.07183787226676941,0.,0.07052759826183319,0.20872388780117035,0.8238604664802551,0.8238449021022192,0.07183787226676941,0.211009681224823,0.8279992938041687,0.8276049078807352,0.,0.,0.,0.
etnn,24,0.07043012231588364,0.07172471284866333,0.,0.07043412327766418,0.20834840834140778,0.8241150975227356,0.8240783600887721,0.07172472029924393,0.21069154143333435,0.828428328037262,0.8278764539205753,0.,0.,0.,0.
etnn,25,0.07018555700778961,0.0718207061290741,0.,0.07025814056396484,0.20847848057746887,0.8245373368263245,0.8245179120983908,0.0718207061290741,0.21030664443969727,0.8289884328842163,0.8276460883472484,0.,0.,0.,0.
etnn,26,0.0700048953294754,0.07158432900905609,0.,0.07004178315401077,0.20827747881412506,0.8250703811645508,0.825058318472668,0.0715843215584755,0.21007218956947327,0.8293425440788269,0.8282133643157952,0.,0.,0.,0.
etnn,27,0.07038167864084244,0.07153882831335068,0.,0.07024785876274109,0.2077317237854004,0.8247702717781067,0.8245436004307962,0.07153882831335068,0.2123820185661316,0.8289753794670105,0.8283225386761668,0.,0.,0.,0.
